Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.097152,0.174101,0.053914,0.207997,0.380201,0.117419,0.085868,0.311759,0.069926,0.031504
2,0.180004,0.147701,0.089725,0.365846,0.368212,0.068299,0.179179,0.420588,0.083593,0.037366
3,0.145293,0.141403,0.124423,0.156261,0.481139,0.075912,0.135640,0.402539,0.067301,0.031548
4,0.077560,0.133927,0.118383,0.254252,0.254818,0.104626,0.258434,0.320642,0.074309,0.054073
5,0.103855,0.121542,0.126384,0.200109,0.431950,0.094611,0.282554,0.405247,0.083812,0.026283
6,0.162977,0.116497,0.155900,0.266605,0.286133,0.150060,0.233541,0.512987,0.156229,0.040093
7,0.145946,0.203317,0.131798,0.195715,0.249549,0.155366,0.243003,0.285534,0.135036,0.041365
8,0.194787,0.122927,0.122252,0.230491,0.339144,0.104911,0.238017,0.164053,0.224750,0.041832
9,0.147784,0.210682,0.107966,0.271717,0.344435,0.082186,0.096446,0.215486,0.161315,0.072843
10,0.188103,0.166487,0.200050,0.318861,0.218424,0.102350,0.150058,0.199385,0.150843,0.085923
11,0.091227,0.123653,0.293300,0.254124,0.102944,0.075312,0.272329,0.181657,0.179491,0.093048
12,0.172275,0.263395,0.346545,0.279289,0.208028,0.109829,0.316616,0.354693,0.123587,0.102186
13,0.216294,0.205352,0.218583,0.227890,0.179862,0.062259,0.413073,0.260753,0.183139,0.096084
14,0.205235,0.083029,0.124302,0.149712,0.308326,0.149210,0.413521,0.153238,0.256013,0.112212
15,0.121857,0.105760,0.122787,0.197266,0.201767,0.248135,0.321126,0.353148,0.243139,0.080324
16,0.201160,0.164696,0.130747,0.201561,0.157797,0.239470,0.186604,0.173579,0.392671,0.053236
17,0.230420,0.182265,0.153203,0.216916,0.204922,0.220064,0.190126,0.187284,0.331622,0.060821
18,0.205027,0.172163,0.231927,0.131223,0.167415,0.150406,0.306764,0.211468,0.249055,0.063683
19,0.417527,0.143787,0.240280,0.128508,0.105420,0.128443,0.192629,0.157365,0.206727,0.031323
20,0.632472,0.158691,0.187065,0.138298,0.189649,0.131255,0.140901,0.184549,0.207828,0.041900
21,0.263634,0.160191,0.486819,0.147124,0.178018,0.224534,0.173225,0.113582,0.115861,0.034200
22,0.216080,0.208499,0.219102,0.102092,0.202300,0.179121,0.385325,0.176853,0.152962,0.041948
23,0.292302,0.149368,0.248523,0.083510,0.167178,0.105605,0.390069,0.138163,0.138377,0.051529
24,0.246646,0.110855,0.220239,0.106697,0.192017,0.091883,0.229243,0.276331,0.145560,0.078987
25,0.508404,0.123072,0.312216,0.058858,0.136804,0.073735,0.186747,0.359894,0.188070,0.059974
26,0.172874,0.120903,0.272213,0.078398,0.219187,0.143839,0.199315,0.257532,0.144129,0.065372
27,0.244353,0.107120,0.205666,0.073788,0.102291,0.114201,0.203233,0.177886,0.159112,0.034504
28,0.261055,0.095351,0.159823,0.065005,0.253601,0.135036,0.117318,0.150043,0.175337,0.019388
29,0.225242,0.165502,0.263811,0.091490,0.145428,0.110276,0.137592,0.131942,0.113886,0.032378
