Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.015849,0.036332,0.012053,0.007397,0.029840,0.006715,0.018732,0.038050,0.023407,0.015426
2,0.021019,0.025550,0.019533,0.006956,0.060940,0.004772,0.023325,0.056303,0.038235,0.009722
3,0.026994,0.025678,0.033127,0.006834,0.072261,0.008343,0.029763,0.050698,0.038534,0.012126
4,0.015016,0.010375,0.042530,0.005357,0.074029,0.013727,0.037919,0.070666,0.043443,0.009651
5,0.019014,0.014113,0.018999,0.009565,0.095760,0.020232,0.044503,0.060922,0.031614,0.008146
6,0.018821,0.029984,0.018437,0.004828,0.084208,0.007366,0.030668,0.068984,0.057262,0.008202
7,0.023935,0.022057,0.018265,0.010249,0.153083,0.012238,0.029020,0.037665,0.019638,0.011285
8,0.017942,0.010165,0.030670,0.009266,0.072707,0.012608,0.038737,0.054532,0.042539,0.021910
9,0.019182,0.020962,0.041320,0.008432,0.121910,0.007451,0.039896,0.049756,0.052092,0.015618
10,0.018449,0.018338,0.040186,0.018400,0.042014,0.012704,0.038312,0.057801,0.023230,0.017955
11,0.023244,0.018119,0.043004,0.013697,0.061491,0.009137,0.033472,0.089420,0.036518,0.013761
12,0.018126,0.021837,0.025009,0.005261,0.055718,0.010559,0.025693,0.068185,0.041534,0.021018
13,0.016422,0.022870,0.050443,0.009539,0.049312,0.012376,0.038019,0.057770,0.087443,0.024613
14,0.013194,0.017000,0.069835,0.005888,0.122885,0.012937,0.020427,0.027532,0.071699,0.018758
15,0.007422,0.033563,0.027546,0.009448,0.105626,0.016737,0.059447,0.060332,0.096220,0.012699
16,0.010928,0.017502,0.040151,0.005115,0.048501,0.019997,0.024961,0.026194,0.146824,0.008872
17,0.021810,0.022476,0.083452,0.004196,0.052207,0.013648,0.027999,0.035701,0.059721,0.009934
18,0.011196,0.022512,0.064886,0.006366,0.049643,0.016471,0.036651,0.073993,0.077826,0.019624
19,0.016303,0.019871,0.040850,0.004865,0.068112,0.018887,0.055994,0.073957,0.043655,0.011633
20,0.023012,0.021658,0.048163,0.005349,0.076988,0.023178,0.027603,0.046715,0.097556,0.015093
21,0.020306,0.022077,0.045630,0.005743,0.085061,0.016868,0.020908,0.034304,0.035609,0.014416
22,0.030542,0.046449,0.045677,0.007443,0.090467,0.020244,0.029261,0.016832,0.045764,0.016199
23,0.038816,0.017644,0.054601,0.014598,0.093292,0.010982,0.029560,0.027671,0.061328,0.020322
24,0.017400,0.030944,0.031587,0.015071,0.082870,0.008530,0.016941,0.038843,0.065710,0.023780
25,0.027077,0.017020,0.021755,0.012302,0.118191,0.014363,0.023151,0.082554,0.033240,0.021758
26,0.012297,0.037774,0.028420,0.008658,0.074598,0.014291,0.017686,0.048795,0.037375,0.015695
27,0.030712,0.044496,0.013740,0.013614,0.067059,0.015924,0.010859,0.035448,0.032250,0.009096
28,0.026942,0.043220,0.020287,0.014556,0.074923,0.015887,0.019551,0.045441,0.041693,0.010159
29,0.029087,0.034008,0.027422,0.008375,0.066270,0.010881,0.014502,0.042560,0.044252,0.015503
30,0.028125,0.051257,0.024336,0.004163,0.040858,0.018226,0.025342,0.027404,0.028403,0.015852
31,0.026811,0.022583,0.012109,0.007214,0.062525,0.019068,0.018688,0.043977,0.029994,0.016128
32,0.023560,0.028507,0.032569,0.013755,0.118995,0.028848,0.015889,0.024457,0.021281,0.012454
33,0.030125,0.066795,0.012994,0.006728,0.093336,0.021184,0.017209,0.024886,0.031348,0.015744
34,0.020983,0.048510,0.021368,0.010129,0.108953,0.022800,0.037839,0.024487,0.022141,0.019865
35,0.034346,0.044453,0.031842,0.008471,0.043267,0.021077,0.031399,0.025264,0.062466,0.019160
36,0.019533,0.021885,0.022023,0.015157,0.062986,0.038005,0.016812,0.026994,0.037439,0.011602
37,0.042429,0.023237,0.024672,0.014403,0.072578,0.051878,0.019106,0.019315,0.038148,0.011026
38,0.046711,0.015941,0.026008,0.011330,0.103666,0.028525,0.031850,0.028228,0.022633,0.018341
39,0.021434,0.014638,0.031358,0.011647,0.053001,0.048403,0.024411,0.033445,0.038638,0.015123
40,0.009816,0.035958,0.026709,0.014785,0.062572,0.023941,0.022565,0.025629,0.029299,0.020807
41,0.011626,0.020045,0.038044,0.028665,0.102122,0.015788,0.014550,0.027169,0.031519,0.012881
42,0.018369,0.023840,0.048858,0.029213,0.128529,0.014244,0.015201,0.021809,0.022866,0.016227
43,0.014251,0.015016,0.032900,0.030964,0.079357,0.023216,0.042641,0.032710,0.045540,0.027274
44,0.035743,0.009731,0.048743,0.026746,0.052282,0.042930,0.042646,0.084199,0.027440,0.012236
45,0.056663,0.012978,0.040360,0.027986,0.051064,0.039584,0.037781,0.036915,0.023074,0.009797
46,0.027580,0.009706,0.050728,0.021987,0.061283,0.046990,0.017046,0.063397,0.055054,0.031214
47,0.018090,0.010598,0.043452,0.030305,0.068903,0.058799,0.032507,0.092139,0.043636,0.038233
48,0.022623,0.017849,0.042854,0.059898,0.055376,0.025008,0.023154,0.070845,0.037403,0.021051
49,0.017707,0.009194,0.022032,0.042864,0.034536,0.022327,0.022732,0.111725,0.018749,0.010315
50,0.022408,0.019225,0.022486,0.039784,0.032074,0.024934,0.032399,0.077880,0.031281,0.015831
51,0.029465,0.010883,0.026119,0.034833,0.048347,0.018307,0.037476,0.058242,0.021805,0.013416
52,0.011427,0.014388,0.015498,0.027949,0.039743,0.010366,0.024224,0.026456,0.026526,0.022726
53,0.025664,0.017079,0.016204,0.032633,0.021578,0.019333,0.021936,0.055678,0.023261,0.013962
54,0.028194,0.023936,0.032425,0.015461,0.037259,0.018299,0.031067,0.029091,0.022602,0.014642
55,0.025971,0.022306,0.017999,0.014793,0.052432,0.026945,0.018309,0.019514,0.021062,0.021197
56,0.017341,0.019327,0.029616,0.009722,0.027761,0.027665,0.015280,0.022450,0.026817,0.009942
57,0.008594,0.049614,0.031352,0.013474,0.038999,0.046816,0.023525,0.036035,0.050381,0.014682
58,0.008330,0.035279,0.017684,0.019332,0.077048,0.081481,0.006085,0.036659,0.047799,0.015239
59,0.013928,0.037378,0.018541,0.020451,0.053753,0.021259,0.013723,0.053564,0.075252,0.018760
60,0.008879,0.023819,0.018236,0.018485,0.055557,0.026116,0.016878,0.051532,0.056946,0.034124
61,0.010652,0.041260,0.018198,0.011056,0.083969,0.027171,0.024692,0.043842,0.045579,0.041437
62,0.023382,0.043651,0.022837,0.017078,0.046525,0.023939,0.014485,0.050116,0.043659,0.036480
63,0.029334,0.026626,0.027598,0.013555,0.071041,0.041860,0.008622,0.049288,0.065161,0.036609
64,0.029821,0.022512,0.026290,0.014233,0.067719,0.040618,0.017954,0.024223,0.046035,0.024162
65,0.025496,0.041923,0.033970,0.008733,0.056204,0.024121,0.007027,0.027587,0.018180,0.013225
66,0.017187,0.079321,0.028098,0.013764,0.114110,0.022973,0.016763,0.019025,0.019960,0.018482
