Site_ID,Period,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.000000,0.043765,0.100958,0.034065,0.120258,0.189986,0.052621,0.047739,0.162770,0.041713,0.022965
2,0.000000,0.081786,0.093188,0.051945,0.190304,0.200575,0.033382,0.087819,0.230957,0.055393,0.028119
3,0.000000,0.066170,0.094837,0.081406,0.104607,0.262331,0.042084,0.078519,0.189064,0.053458,0.026175
4,0.000000,0.036699,0.071273,0.079143,0.156300,0.158737,0.052690,0.143738,0.165808,0.053510,0.035523
5,0.000000,0.046575,0.067502,0.077206,0.120700,0.217604,0.054415,0.170754,0.218421,0.047615,0.016393
6,0.000000,0.066344,0.071556,0.080069,0.155091,0.151730,0.078007,0.134176,0.269747,0.097248,0.025928
7,0.000000,0.063081,0.103955,0.067052,0.125496,0.152992,0.076053,0.138548,0.160262,0.074056,0.025507
8,0.000000,0.075939,0.060217,0.073350,0.132487,0.172991,0.061095,0.162147,0.099070,0.132537,0.031498
9,0.000000,0.059375,0.100880,0.062835,0.151530,0.211320,0.043704,0.079243,0.137687,0.105774,0.050160
10,0.000000,0.072172,0.081626,0.105808,0.197237,0.110996,0.058933,0.107994,0.139474,0.094400,0.052877
11,0.000000,0.040743,0.060899,0.159827,0.148474,0.061649,0.040810,0.195486,0.130037,0.114291,0.058028
12,0.000000,0.067331,0.113448,0.155727,0.139934,0.105076,0.055092,0.206587,0.243981,0.075478,0.072744
13,0.000000,0.076469,0.090232,0.129568,0.129971,0.091359,0.034785,0.267407,0.178837,0.138274,0.066326
14,0.000000,0.076390,0.042443,0.085456,0.081638,0.168649,0.065206,0.220367,0.087286,0.166631,0.073370
15,0.000000,0.043653,0.055394,0.073186,0.103487,0.119368,0.110644,0.237726,0.210649,0.168625,0.047836
16,0.000000,0.064708,0.079777,0.074764,0.089096,0.084206,0.109714,0.105291,0.108880,0.273982,0.031036
17,0.000000,0.085485,0.086644,0.090869,0.101386,0.107586,0.112169,0.106433,0.106530,0.190428,0.038888
18,0.000000,0.068845,0.082621,0.134882,0.072532,0.081356,0.069971,0.159384,0.140920,0.138370,0.043748
19,0.000000,0.122666,0.074727,0.121819,0.064698,0.058975,0.070440,0.122218,0.098701,0.111160,0.024453
20,0.000000,0.208788,0.082534,0.102473,0.067547,0.112660,0.072670,0.081943,0.113406,0.124071,0.033398
21,0.000000,0.098413,0.082915,0.230711,0.070784,0.105191,0.114613,0.095884,0.069287,0.063719,0.026138
22,0.000000,0.092272,0.111798,0.117388,0.058674,0.130432,0.107772,0.209836,0.087875,0.080182,0.032733
23,0.000000,0.120960,0.067541,0.137444,0.052574,0.110156,0.057066,0.206654,0.074736,0.072873,0.041330
24,0.000000,0.097699,0.059426,0.117355,0.063767,0.115875,0.046698,0.126028,0.150561,0.080457,0.063449
25,0.000000,0.190378,0.065930,0.134153,0.039605,0.097312,0.045948,0.111075,0.220542,0.090623,0.044212
26,0.000000,0.062770,0.070287,0.131969,0.046167,0.140905,0.080941,0.106812,0.143556,0.074763,0.049648
27,0.000000,0.100067,0.058028,0.079323,0.050719,0.073678,0.071769,0.108200,0.103394,0.079581,0.022897
28,0.000000,0.103528,0.054006,0.082799,0.043951,0.159238,0.074497,0.064692,0.096083,0.091846,0.014012
29,0.000000,0.087275,0.094506,0.149783,0.054429,0.101398,0.058568,0.064920,0.083435,0.065207,0.022981
30,0.000000,0.076843,0.122252,0.089211,0.037118,0.099337,0.079571,0.141516,0.079014,0.039052,0.021007
31,0.000000,0.109299,0.077954,0.120224,0.044497,0.114267,0.034610,0.070192,0.150318,0.108767,0.034290
32,0.000000,0.082601,0.094312,0.149800,0.054077,0.094458,0.066180,0.076387,0.146602,0.131735,0.032544
33,0.000000,0.075725,0.092610,0.066996,0.039945,0.110982,0.029188,0.067130,0.074053,0.107249,0.023282
34,0.000000,0.084957,0.109664,0.162536,0.069717,0.138553,0.044762,0.181688,0.121381,0.091057,0.027025
35,0.000000,0.101600,0.110289,0.137966,0.062919,0.066308,0.064246,0.135789,0.110684,0.103048,0.040806
36,0.000000,0.072845,0.093779,0.145261,0.053896,0.042717,0.077605,0.103997,0.092457,0.105328,0.041048
37,0.000000,0.053178,0.078425,0.132595,0.070495,0.050993,0.061790,0.101407,0.106154,0.086088,0.016531
38,0.000000,0.083919,0.076831,0.115161,0.049123,0.067700,0.065945,0.138056,0.121404,0.066382,0.026905
39,0.000000,0.092469,0.077406,0.154549,0.066613,0.052839,0.073231,0.057288,0.084572,0.095412,0.040402
40,0.000000,0.067692,0.096886,0.216714,0.080344,0.085115,0.064511,0.142801,0.105501,0.080336,0.046572
41,0.000000,0.080840,0.059722,0.217208,0.059459,0.070253,0.121689,0.162590,0.068828,0.079901,0.025745
42,0.000000,0.069453,0.072238,0.382964,0.146856,0.136776,0.060846,0.112379,0.056366,0.082822,0.034488
43,0.000000,0.050447,0.079929,0.221582,0.063434,0.081780,0.090126,0.124625,0.084315,0.130825,0.085149
44,0.000000,0.058199,0.061056,0.278101,0.082208,0.085917,0.135425,0.187826,0.113846,0.128524,0.031073
45,0.000000,0.098990,0.045441,0.157809,0.084490,0.084876,0.090036,0.094485,0.097559,0.072449,0.036562
46,0.000000,0.075740,0.049222,0.201795,0.093531,0.083775,0.112744,0.071892,0.201019,0.150076,0.041019
47,0.000000,0.052185,0.052608,0.143459,0.128276,0.085863,0.144987,0.067416,0.110394,0.128364,0.063516
48,0.000000,0.062709,0.038697,0.228268,0.151854,0.077893,0.059611,0.045389,0.134311,0.162083,0.026232
49,0.000000,0.082049,0.036749,0.142922,0.107728,0.067951,0.054679,0.042404,0.165318,0.104981,0.023807
50,0.000000,0.066924,0.071107,0.142684,0.095500,0.073278,0.083314,0.053165,0.156567,0.138055,0.040090
51,0.000000,0.062920,0.039887,0.146897,0.169014,0.069675,0.064920,0.072061,0.153688,0.100610,0.038371
52,0.000000,0.060257,0.070104,0.174078,0.079974,0.074786,0.048954,0.043296,0.140469,0.112762,0.055400
53,0.000000,0.099514,0.058367,0.217918,0.125411,0.048413,0.093438,0.053169,0.199865,0.150970,0.063526
54,0.000000,0.093070,0.056793,0.363163,0.068522,0.047527,0.116491,0.072195,0.069228,0.133464,0.040555
55,0.000000,0.104727,0.086002,0.191723,0.057702,0.098964,0.072759,0.092451,0.063253,0.113132,0.028773
56,0.000000,0.123111,0.084469,0.214054,0.033718,0.094829,0.127539,0.064216,0.066389,0.159326,0.034133
57,0.000000,0.071927,0.108918,0.233966,0.072048,0.127200,0.094109,0.077186,0.110386,0.244321,0.026198
58,0.000000,0.087598,0.054993,0.211200,0.061275,0.167477,0.158757,0.049245,0.133582,0.161186,0.025377
