ID,Longitude,Latitude,LocalX,LocalY
0,99.499817,29.496704,-48.502937,-55.684132
1,99.510132,29.496704,-47.502701,-55.688435
2,99.520447,29.496702,-46.502460,-55.692852
3,99.530754,29.496700,-45.502964,-55.697178
4,99.541069,29.496696,-44.502728,-55.701633
5,99.551384,29.496695,-43.502487,-55.705784
6,99.561699,29.496689,-42.502254,-55.710274
7,99.572006,29.496685,-41.502754,-55.714455
8,99.582321,29.496677,-40.502514,-55.718971
9,99.592636,29.496672,-39.502277,-55.723186
10,99.602943,29.496664,-38.502781,-55.727524
11,99.613258,29.496656,-37.502544,-55.731773
12,99.623573,29.496647,-36.502304,-55.736145
13,99.633881,29.496635,-35.502804,-55.740635
14,99.644196,29.496626,-34.502567,-55.744827
15,99.654510,29.496614,-33.502327,-55.749142
16,99.664818,29.496601,-32.502827,-55.753574
17,99.675133,29.496588,-31.502588,-55.757923
18,99.685448,29.496574,-30.502348,-55.762177
19,99.695755,29.496559,-29.502848,-55.766556
20,99.706070,29.496544,-28.502607,-55.770844
21,99.716385,29.496529,-27.502367,-55.775043
22,99.726692,29.496511,-26.502865,-55.779358
23,99.737007,29.496492,-25.502623,-55.783806
24,99.747322,29.496473,-24.502382,-55.788155
25,99.757629,29.496454,-23.502878,-55.792419
26,99.767944,29.496433,-22.502636,-55.796806
27,99.778259,29.496412,-21.502394,-55.801102
28,99.788567,29.496391,-20.502892,-55.805305
29,99.798882,29.496368,-19.502647,-55.809631
30,99.809196,29.496344,-18.502403,-55.814087
31,99.819511,29.496321,-17.502159,-55.818233
32,99.829819,29.496294,-16.502653,-55.822716
33,99.840134,29.496269,-15.502406,-55.826897
34,99.850449,29.496243,-14.502160,-55.831200
35,99.860756,29.496214,-13.502653,-55.835625
36,99.871071,29.496185,-12.502406,-55.839962
37,99.881386,29.496157,-11.502158,-55.844208
38,99.891693,29.496126,-10.502649,-55.848576
39,99.902008,29.496096,-9.502400,-55.852852
40,99.912323,29.496065,-8.502151,-55.857044
41,99.922630,29.496033,-7.502640,-55.861351
42,99.932945,29.495998,-6.502388,-55.865784
43,99.943260,29.495966,-5.502137,-55.869919
44,99.953568,29.495930,-4.502625,-55.874378
45,99.963882,29.495895,-3.502371,-55.878544
46,99.974197,29.495859,-2.502117,-55.882832
47,99.984505,29.495821,-1.502603,-55.887238
48,99.994820,29.495783,-0.502347,-55.891556
49,100.005127,29.495745,0.497169,-55.895786
50,100.015442,29.495705,1.497426,-55.900135
51,100.025757,29.495665,2.497683,-55.904396
52,100.036064,29.495623,3.497202,-55.908779
53,100.046379,29.495581,4.497461,-55.913071
54,100.056694,29.495539,5.497721,-55.917278
55,100.067001,29.495495,6.497242,-55.921600
56,100.077316,29.495451,7.497504,-55.925835
57,100.087631,29.495405,8.497766,-55.930195
58,100.097939,29.495359,9.497290,-55.934464
59,100.108253,29.495314,10.497555,-55.938644
60,100.118568,29.495266,11.497820,-55.942944
61,100.128876,29.495216,12.497347,-55.947369
62,100.139191,29.495169,13.497613,-55.951488
63,100.149506,29.495117,14.497882,-55.955940
64,100.159813,29.495068,15.497411,-55.960098
65,100.170128,29.495016,16.497683,-55.964375
66,100.180443,29.494963,17.497953,-55.968769
67,100.190750,29.494909,18.497486,-55.973080
68,100.201065,29.494856,19.497759,-55.977299
69,100.211372,29.494801,20.497293,-55.981640
70,100.221687,29.494745,21.497568,-55.985889
71,100.232002,29.494690,22.497847,-55.990051
72,100.242310,29.494633,23.497383,-55.994335
73,100.252625,29.494574,24.497662,-55.998741
74,100.262939,29.494516,25.497944,-56.002842
75,100.273247,29.494455,26.497484,-56.007286
76,100.283562,29.494396,27.497766,-56.011417
77,100.293869,29.494335,28.497311,-56.015678
78,100.304184,29.494272,29.497595,-56.020058
79,100.314499,29.494209,30.497881,-56.024349
80,100.324806,29.494146,31.497429,-56.028549
81,100.335121,29.494081,32.497715,-56.032875
82,100.345436,29.494017,33.498009,-56.037109
83,100.355743,29.493950,34.497559,-56.041466
84,100.366058,29.493883,35.497852,-56.045731
85,100.376366,29.493816,36.497406,-56.049911
86,100.386681,29.493748,37.497700,-56.054207
87,100.396996,29.493679,38.497997,-56.058414
88,100.407303,29.493608,39.497555,-56.062748
89,100.417618,29.493538,40.497856,-56.066990
90,100.427925,29.493467,41.497414,-56.071140
91,100.438240,29.493395,42.497715,-56.075413
92,100.448555,29.493320,43.498020,-56.079807
93,100.458862,29.493248,44.497585,-56.083908
94,100.469177,29.493174,45.497890,-56.088120
95,100.479485,29.493097,46.497459,-56.092461
96,100.489799,29.493021,47.497768,-56.096706
97,100.500114,29.492943,48.498077,-56.101078
98,99.499817,29.505726,-48.498619,-54.684124
99,99.510132,29.505726,-47.498470,-54.688423
100,99.520447,29.505724,-46.498322,-54.692844
101,99.530762,29.505722,-45.498173,-54.697174
102,99.541077,29.505718,-44.498024,-54.701630
103,99.551384,29.505716,-43.498611,-54.705776
104,99.561699,29.505711,-42.498466,-54.710262
105,99.572014,29.505707,-41.498318,-54.714451
106,99.582329,29.505699,-40.498169,-54.718964
107,99.592644,29.505693,-39.498020,-54.723183
108,99.602951,29.505686,-38.498608,-54.727520
109,99.613266,29.505676,-37.498463,-54.731979
110,99.623581,29.505669,-36.498314,-54.736137
